Date,Open,High,Low,Close,Adj Close,Volume
2021-01-20,42.662949,42.754562,40.306404,42.606899,42.606899,684094133
2021-01-21,42.606026,42.635189,38.449390,38.645840,38.645840,621983627
2021-01-22,38.635311,41.409695,36.953415,40.857571,40.857571,561072899
2021-01-23,40.865093,41.850292,39.586529,40.815479,40.815479,468609053
2021-01-24,40.862473,42.191525,40.504063,41.881607,41.881607,450486066
2021-01-25,41.876053,43.353527,40.633656,41.623703,41.623703,507172505
2021-01-26,41.655128,42.477215,40.007832,41.694736,41.694736,546536514
2021-01-27,41.756172,42.047836,39.730801,40.994877,40.994877,519618043
2021-01-28,40.986420,43.076508,40.507519,42.529106,42.529106,533847527
2021-01-29,42.386181,44.009453,41.907001,42.852348,42.852348,651771603
2021-01-30,42.853512,44.988255,42.680065,44.772278,44.772278,533768579
2021-01-31,44.798698,45.707710,43.429073,44.275993,44.275993,512545443
2021-02-01,44.309074,52.138683,43.524193,51.607697,51.607697,1256933735
2021-02-02,51.551884,52.911865,49.387074,51.056404,51.056404,1006694242
2021-02-03,51.050102,52.677433,49.955585,52.242638,52.242638,714000888
2021-02-04,52.242210,57.070911,51.602642,55.925125,55.925125,940905214
2021-02-05,56.010803,68.463959,56.010803,67.845566,67.845566,1431595319
2021-02-06,67.854637,75.401878,62.208126,72.733597,72.733597,2114553792
2021-02-07,72.868217,74.612549,64.497894,68.590523,68.590523,1493688265
2021-02-08,68.525558,79.831543,67.859238,79.831543,79.831543,2133574291
2021-02-09,79.807022,115.131844,78.446327,107.899277,107.899277,4425849540
2021-02-10,107.708557,148.074768,107.708557,129.737152,129.737152,7000323240
2021-02-11,129.305237,131.535690,119.096260,124.434258,124.434258,2809765027
2021-02-12,124.159431,140.243164,121.727066,136.948395,136.948395,2981627650
2021-02-13,136.927994,138.470535,125.728600,133.452682,133.452682,2116751635
2021-02-14,133.473770,138.756760,128.731720,136.426514,136.426514,2312597445
2021-02-15,136.276779,139.219757,119.734985,129.567886,129.567886,2414986848
2021-02-16,129.739792,133.280609,126.796638,130.056656,130.056656,1925775294
2021-02-17,130.080139,175.116150,127.092117,164.670105,164.670105,5236224271
2021-02-18,165.018829,199.455627,163.274887,195.932632,195.932632,6110987389
2021-02-19,195.987854,342.879608,195.385742,332.616028,332.616028,17982945189
2021-02-20,332.918457,334.455048,227.913757,255.953735,255.953735,9680520706
2021-02-21,254.539276,307.588104,250.540817,293.923584,293.923584,8505963719
2021-02-22,294.612366,295.478577,223.019363,267.509796,267.509796,7885768925
2021-02-23,267.364410,268.536835,190.412460,230.994247,230.994247,8280752930
2021-02-24,231.121597,280.088196,214.524719,254.359131,254.359131,7154121651
2021-02-25,254.467606,264.705139,233.885956,233.885956,233.885956,4059853073
